Offsets,Rate of Success,Trial success
0.0,0.14285714285714285,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
0.25,0.14285714285714285,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.5,0.14285714285714285,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
0.75,0.14285714285714285,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
1.0,0.42857142857142855,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
1.25,0.2857142857142857,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
1.5,0.42857142857142855,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
1.75,0.14285714285714285,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
2.0,0.14285714285714285,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2.25,0.5714285714285714,"[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]"
2.5,0.7142857142857143,"[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0]"
2.75,0.8571428571428571,"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]"
3.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3.25,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3.5,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3.75,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4.25,0.8571428571428571,"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]"
4.5,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4.75,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5.25,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5.5,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5.75,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
6.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
6.25,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
6.5,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
6.75,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
